x1, y1, x2, y2,dx,dy
427,158,427,158
414,186,414,186
1715,234,1715,234
393,188,393,188
1001,349,1001,349
475,83,475,83
398,89,398,89
441,92,441,92
1666,355,1666,355
312,102,312,102
348,120,348,120
396,204,396,204
1694,228,1694,228
1680,247,1680,247
1541,188,1541,188
376,191,376,191
1311,32,1311,32
1579,171,1579,171
1633,183,1633,183
1657,186,1657,186
481,138,481,138
1041,335,1041,335
1579,492,1579,492
354,70,354,70
312,83,312,83
331,85,331,85
1552,167,1552,167
1546,177,1546,177
651,396,651,396
639,413,639,413
1577,171,1577,171
1306,14,1306,14
542,69,542,69
1500,178,1500,178
1574,121,1574,121
1095,561,1095,561
1267,424,1267,424
1692,272,1692,272
1536,139,1536,139
326,69,326,69
1656,384,1656,384
294,69,294,69
1672,389,1672,389
1177,500,1177,500
517,188,517,188
1367,63,1367,63
1336,76,1336,76
757,644,757,644
1361,171,1361,171
348,91,348,91
1347,176,1347,176
421,142,421,142
408,146,408,146
1407,103,1407,103
1628,454,1628,454
176,6,176,6
227,18,227,18
135,20,135,20
1733,291,1733,291
1744,318,1744,318
1722,333,1722,333
1757,342,1757,342
1284,134,1284,134
639,395,639,395
324,98,324,98
900,217,900,217
1628,335,1628,335
1649,335,1649,335
1512,135,1512,135
1551,152,1551,152
1494,154,1494,154
1199,562,1199,562
1315,164,1315,164
1708,403,1708,403
1272,167,1272,167
1692,403,1692,403
1135,366,1135,366
219,3,219,3
1152,371,1152,371
227,16,227,16
213,18,213,18
1473,54,1473,54
1409,186,1409,186
660,60,660,60
1567,496,1567,496
1393,74,1393,74
1695,294,1695,294
1698,312,1698,312
1682,292,1682,292
1634,255,1634,255
1670,265,1670,265
406,170,406,170
433,196,433,196
596,408,596,408
468,150,468,150
1450,106,1450,106
1550,116,1550,116
1472,89,1472,89
786,226,786,226
259,61,259,61
835,696,835,696
1525,209,1525,209
1544,213,1544,213
588,708,588,708
1576,101,1576,101
835,279,835,279
